"campaign_id","campaign_name","adgroup_id","adgroup_name","adgroup_targetting_type","product_id","product_name","adgroup_status","campaign_status","impressions","clicks","ctr","cvr","avg_cpc","budget_spend","units_sold_direct","units_sold_indirect","units_sold_total","direct_revenue","indirect_revenue","total_revenue","roi_direct","roi_indirect","roi_total"
"CMP1140205","SATRANI FEB","ADG1199938","Clone_of_ Satrani Saree Hit sku 9 to 12 Feb.","Auto Targeting","34516739","Satrani Striped Zari Ready to Wear Saree","ADGROUP_STATUS_EXPIRED","CAMPAIGN_EXPIRED","0","0",,,,"0.00","0","0","0","0.0000","0.0000","0.0000",,,
"CMP1320232","KALINI MARCH 2026","ADG1339634","KALINI NEW","Auto Targeting","30470967","KALINI Ethnic Motifs Zari Banarasi Republic Day Saree","ADGROUP_STATUS_EXPIRED","LIVE","13455","306","2.2700","0.9800","1.200000","367.20","0","3","3","0.0000","2275.5000","2275.5000","0.00000000","6.20000000","6.2000"
"CMP1320289","MITERA MARCH 2026","ADG1320292","MITERA MIX","Auto Targeting","40091209","Mitera Bagh Bagh Saree","ADGROUP_STATUS_EXPIRED","LIVE","21","0","0.0000",,,"0.00","0","0","0","0.0000","0.0000","0.0000",,,
"CMP1320232","KALINI MARCH 2026","ADG1339634","KALINI NEW","Auto Targeting","40099756","KALINI Ethnic Motifs Poly Georgette Designer Saree","ADGROUP_STATUS_EXPIRED","LIVE","2415","35","1.4500","0.0000","1.200000","42.00","0","0","0","0.0000","0.0000","0.0000","0.00000000","0.00000000","0.0000"
"CMP1140205","SATRANI FEB","ADG1231621","Satrani Saree med1 sku 20 to 22 Feb.","Auto Targeting","34170050","Satrani Woven Design Floral Print Zari Ready to Wear Saree","ADGROUP_STATUS_EXPIRED","CAMPAIGN_EXPIRED","0","0",,,,"0.00","0","0","0","0.0000","0.0000","0.0000",,,
"CMP1140205","SATRANI FEB","ADG1143235","Satrani Saree Hit sku 1 to 8 Feb.","Auto Targeting","36078047","Satrani Embellished Embroidered Tissue Saree","ADGROUP_STATUS_EXPIRED","CAMPAIGN_EXPIRED","0","0",,,,"0.00","0","0","0","0.0000","0.0000","0.0000",,,
"CMP1299835","SATRANI MARCH","ADG1339690","SATRANI MIX1","Auto Targeting","34516721","Satrani Geometric Printed Zari Ready to Wear Saree","ADGROUP_STATUS_EXPIRED","LIVE","9713","268","2.7600","0.3700","1.200000","321.60","0","1","1","0.0000","848.0900","848.0900","0.00000000","2.64000000","2.6400"
"CMP1320232","KALINI MARCH 2026","ADG1339645","KALINI HIT STYLES","Auto Targeting","27271130","KALINI Geometric Printed Saree","ADGROUP_STATUS_EXPIRED","LIVE","5660","148","2.6100","0.0000","1.200000","177.60","0","0","0","0.0000","0.0000","0.0000","0.00000000","0.00000000","0.0000"
"CMP1318141","SANGRIA MARCH 2026","ADG1318143","SANGRIA","Auto Targeting","39658072","Sangria Printed Sarees With Unstitched Blouse Piece","ADGROUP_STATUS_EXPIRED","LIVE","359","3","0.8400","0.0000","1.200000","3.60","0","0","0","0.0000","0.0000","0.0000","0.00000000","0.00000000","0.0000"
"CMP1140205","SATRANI FEB","ADG1231621","Satrani Saree med1 sku 20 to 22 Feb.","Auto Targeting","34013051","Satrani Ethnic Motifs Zari Printed Ready to Wear Saree","ADGROUP_STATUS_EXPIRED","CAMPAIGN_EXPIRED","0","0",,,,"0.00","0","0","0","0.0000","0.0000","0.0000",,,
